idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
3.000000000000000000e+00,1.406666666666666621e-01,5.604952027371850470e-02,1.791962707750665781e-02,6.279148215282108481e-02,1.968788193989850013e-02
3.000000000000000000e+00,1.519999999999999962e-01,5.109259741687659923e-02,1.556631643095125403e-02,5.736908957751454124e-02,1.717852118140084788e-02
3.000000000000000000e+00,1.633333333333333304e-01,4.685267530901585792e-02,1.343801953535600675e-02,5.271871148523656764e-02,1.489634312025973906e-02
3.000000000000000000e+00,1.746666666666666645e-01,4.318556084068764928e-02,1.155711572235990081e-02,4.868598462093921136e-02,1.286967669581612524e-02
3.000000000000000000e+00,1.859999999999999987e-01,3.998966096633271849e-02,9.928605538415428630e-03,4.516254314057593228e-02,1.110727495613158568e-02
3.000000000000000000e+00,1.973333333333333051e-01,3.718852398223629341e-02,8.544891152845703747e-03,4.206717280098185713e-02,9.603589843322643538e-03
3.000000000000000000e+00,2.086666666666666670e-01,3.472178967853695175e-02,7.390398571319340207e-03,3.933595761891546527e-02,8.343845365535791647e-03
3.000000000000000000e+00,2.200000000000000011e-01,3.254043100545207096e-02,6.445120280816244752e-03,3.691693394669758738e-02,7.307826006988519044e-03
4.000000000000000000e+00,5.000000000000000278e-02,1.568396927371009386e-01,3.429556293291807778e-02,1.705613820945632297e-01,3.634637196555434019e-02
4.000000000000000000e+00,6.133333333333333692e-02,1.567739511615628134e-01,3.362527515920935711e-02,1.693485887075113772e-01,3.548155337852147012e-02
4.000000000000000000e+00,7.266666666666667107e-02,1.320770975549115100e-01,3.532970208336427831e-02,1.442003662943543429e-01,3.751059547666851096e-02
4.000000000000000000e+00,8.399999999999999134e-02,1.057143226883771603e-01,2.911065621004704090e-02,1.151676645480306516e-01,3.100030721857042690e-02
4.000000000000000000e+00,9.533333333333332549e-02,9.096927905280763338e-02,2.947715430930616595e-02,1.002450457386811766e-01,3.123872648568213478e-02
4.000000000000000000e+00,1.066666666666666596e-01,7.803202338329615073e-02,2.405310165196038880e-02,8.566697545425200344e-02,2.582022534089039797e-02
4.000000000000000000e+00,1.179999999999999938e-01,6.928303210967080850e-02,2.156507585266535798e-02,7.631305986110914485e-02,2.319661983902970848e-02
4.000000000000000000e+00,1.293333333333333279e-01,6.314569128344688087e-02,2.121275863555023219e-02,7.029206805194011809e-02,2.266497613004717429e-02
4.000000000000000000e+00,1.406666666666666621e-01,5.670128277309322701e-02,1.689082492617894476e-02,6.283988850177962826e-02,1.819439240497700699e-02
4.000000000000000000e+00,1.519999999999999962e-01,5.241866095561242833e-02,1.624902561484856123e-02,5.874602828626145773e-02,1.741368097843633625e-02
4.000000000000000000e+00,1.633333333333333304e-01,4.784059095963429098e-02,1.290738760392529279e-02,5.335417567122120730e-02,1.389628031924946411e-02
4.000000000000000000e+00,1.746666666666666645e-01,4.455935050020787963e-02,1.214946313292561940e-02,5.030158705206291131e-02,1.304843395518865377e-02
4.000000000000000000e+00,1.859999999999999987e-01,4.104511004153901105e-02,1.145916693983601610e-02,4.609874908812166411e-02,1.227205288132919743e-02
4.000000000000000000e+00,1.973333333333333051e-01,3.857653329924434771e-02,9.003933222702844436e-03,4.390201265546227194e-02,9.693732373672096780e-03
4.000000000000000000e+00,2.086666666666666670e-01,3.611333168144659211e-02,7.763547230112709252e-03,4.128217775010614710e-02,8.372437321935311677e-03
4.000000000000000000e+00,2.200000000000000011e-01,3.355537295328028108e-02,7.676500541881148623e-03,3.820148832944998685e-02,8.284005758429425700e-03
5.000000000000000000e+00,5.000000000000000278e-02,1.558237613809950184e-01,3.402641611965604579e-02,1.691930928768764775e-01,3.580237570818144838e-02
5.000000000000000000e+00,6.133333333333333692e-02,1.587809886338087118e-01,3.548802146656919454e-02,1.722948552266103661e-01,3.741339214722272377e-02
5.000000000000000000e+00,7.266666666666667107e-02,1.309131244485168821e-01,3.542965483728848647e-02,1.427212268556539987e-01,3.741249507074218689e-02
5.000000000000000000e+00,8.399999999999999134e-02,1.057513590553096072e-01,3.163234034602629974e-02,1.158159184495466953e-01,3.352029976267084654e-02
5.000000000000000000e+00,9.533333333333332549e-02,8.875947143107777715e-02,2.843585044841181672e-02,9.772149305785274298e-02,3.040277333403418325e-02
