idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error
8.000000000000000000e+00,4.666666666666666741e-01,7.260236334342212716e-02,1.593937907540866200e-02,8.063721099517548452e-02,1.732459758033772640e-02
8.000000000000000000e+00,5.333333333333333259e-01,6.310582030107099449e-02,1.342666731724341360e-02,7.000948552536682967e-02,1.456294996477568507e-02
8.000000000000000000e+00,5.999999999999999778e-01,5.532241744271446798e-02,1.102341702412984285e-02,6.158804106992649130e-02,1.206303434270812949e-02
8.000000000000000000e+00,6.666666666666666297e-01,4.919778963134950611e-02,9.516120757525061216e-03,5.496518598893847946e-02,1.048246804828573131e-02
8.000000000000000000e+00,7.333333333333332815e-01,4.407681970240980018e-02,8.739365113304713509e-03,4.942209278794312127e-02,9.696811522948812351e-03
8.000000000000000000e+00,8.000000000000000444e-01,4.027966503376657903e-02,7.265138735666313435e-03,4.514384903612676109e-02,8.064509901137965550e-03
8.000000000000000000e+00,8.666666666666666963e-01,3.715465349023995556e-02,6.655636655510956644e-03,4.164935406407340585e-02,7.426479909752601097e-03
8.000000000000000000e+00,9.333333333333333481e-01,3.391986896191423462e-02,5.866956511175933607e-03,3.810928567686555635e-02,6.427689410212398223e-03
8.000000000000000000e+00,1.000000000000000000e+00,3.199780601210484854e-02,5.403547980400871462e-03,3.592337949753783566e-02,6.053758905746800707e-03
9.000000000000000000e+00,0.000000000000000000e+00,1.101358654117680497e-01,3.226854452245017657e-02,1.203981344968688139e-01,3.392280289327906373e-02
9.000000000000000000e+00,6.666666666666666574e-02,1.308617169300846372e-01,3.444167993398158240e-02,1.426137252158539703e-01,3.609600051094832840e-02
9.000000000000000000e+00,1.333333333333333315e-01,1.378155343486905660e-01,3.082073424773729489e-02,1.500677561448767738e-01,3.246010922482921168e-02
9.000000000000000000e+00,2.000000000000000111e-01,1.313195574307634284e-01,2.688444445441345518e-02,1.431605802150663076e-01,2.857900217887545877e-02
9.000000000000000000e+00,2.666666666666666630e-01,1.156525480139162787e-01,2.341530540214399950e-02,1.262172595908951367e-01,2.513188098090721537e-02
9.000000000000000000e+00,3.333333333333333148e-01,9.968313704773239248e-02,2.228913408383606520e-02,1.093348833137220977e-01,2.384055409236782164e-02
9.000000000000000000e+00,4.000000000000000222e-01,8.519035442569598826e-02,2.062714005151357333e-02,9.383810968505927608e-02,2.222833182220407613e-02
9.000000000000000000e+00,4.666666666666666741e-01,7.409976991370913202e-02,1.813593481144889358e-02,8.178958913315959034e-02,1.950207717553494383e-02
9.000000000000000000e+00,5.333333333333333259e-01,6.269396849102815139e-02,1.384734946846351289e-02,6.930588247574198668e-02,1.490706514922308240e-02
9.000000000000000000e+00,5.999999999999999778e-01,5.537728952930020404e-02,1.203943549704315948e-02,6.129075698932415911e-02,1.302201057614925210e-02
9.000000000000000000e+00,6.666666666666666297e-01,4.922667393524476909e-02,1.037056014815605776e-02,5.459730533463075935e-02,1.127197088519064049e-02
9.000000000000000000e+00,7.333333333333332815e-01,4.422978880206569763e-02,8.877436827790659638e-03,4.921569224723916502e-02,9.626685619835219018e-03
9.000000000000000000e+00,8.000000000000000444e-01,4.048536983160379993e-02,8.295431302301262827e-03,4.509595123499426927e-02,9.140447276793733228e-03
